City Name,Region,KOR_Code
Busan,Busan,부산광역시
Chungcheongbuk-do,Chungcheongbuk-do,충북
Cheongju,Chungcheongbuk-do,청주
Chungju,Chungcheongbuk-do,충주
Jecheon,Chungcheongbuk-do,제천
Danyang,Chungcheongbuk-do,단양
Boeun,Chungcheongbuk-do,보은
Eumseong,Chungcheongbuk-do,음성
Goesan,Chungcheongbuk-do,괴산
Jeungpyeong,Chungcheongbuk-do,증평
Jincheon,Chungcheongbuk-do,진천
Okcheon,Chungcheongbuk-do,옥천
Yeongdong,Chungcheongbuk-do,영동
Chungcheongnam-do,Chungcheongnam-do,충남
Cheonan,Chungcheongnam-do,천안
Asan,Chungcheongnam-do,아산
Dangjin,Chungcheongnam-do,당진
Seosan,Chungcheongnam-do,서산
Boryeong,Chungcheongnam-do,보령
Buyeo,Chungcheongnam-do,부여
Cheongyang,Chungcheongnam-do,청양
Geumsan,Chungcheongnam-do,금산
Gongju,Chungcheongnam-do,공주
Gyeryong,Chungcheongnam-do,계룡
Hongseong,Chungcheongnam-do,홍성
Nonsan,Chungcheongnam-do,논산
Seocheon,Chungcheongnam-do,서천
Taean,Chungcheongnam-do,태안
Yesan,Chungcheongnam-do,예산
Daegu,Daegu,대구광역시
Daejeon,Daejeon,대전광역시
Gangwon-do,Gangwon-do,강원
Chuncheon,Gangwon-do,춘천
Gangneung,Gangwon-do,강릉
Wonju,Gangwon-do,원주
Donghae,Gangwon-do,동해
Samcheok,Gangwon-do,삼척
Cheorwon,Gangwon-do,철원
Goseong A,Gangwon-do,고성
Hoengseong,Gangwon-do,횡성
Hongcheon,Gangwon-do,홍천
Hwacheon,Gangwon-do,화천
Jeongseon,Gangwon-do,정선
Pyeongchang,Gangwon-do,평창
Sokcho,Gangwon-do,속초
Taebaek,Gangwon-do,태백
Yanggu,Gangwon-do,양구
Yangyang,Gangwon-do,양양
Yeongwol,Gangwon-do,영월
Gwangju A,Gwangju,광주광역시
Gyeonggi-do,Gyeonggi-do,경기
Ansan,Gyeonggi-do,안산
Anyang,Gyeonggi-do,안양
Bucheon,Gyeonggi-do,부천
Goyang,Gyeonggi-do,고양
Hwaseong,Gyeonggi-do,화성
Namyangju,Gyeonggi-do,남양주
Seongnam,Gyeonggi-do,성남
Suwon,Gyeonggi-do,수원
Yongin,Gyeonggi-do,용인
Gimpo,Gyeonggi-do,김포
Gunpo,Gyeonggi-do,군포
Gwangju B,Gyeonggi-do,광주
Gwangmyeong,Gyeonggi-do,광명
Icheon,Gyeonggi-do,이천
Osan,Gyeonggi-do,오산
Paju,Gyeonggi-do,파주
Pyeongtaek,Gyeonggi-do,평택
Siheung,Gyeonggi-do,시흥
Uijeongbu,Gyeonggi-do,의정부
Yangju,Gyeonggi-do,양주
Anseong,Gyeonggi-do,안성
Dongducheon,Gyeonggi-do,동두천
Gapyeong,Gyeonggi-do,가평
Guri,Gyeonggi-do,구리
Gwacheon,Gyeonggi-do,과천
Hanam,Gyeonggi-do,하남
Pocheon,Gyeonggi-do,포천
Uiwang,Gyeonggi-do,의왕
Yangpyeong,Gyeonggi-do,양평
Yeoju,Gyeonggi-do,여주
Yeoncheon,Gyeonggi-do,연천
Gyeongsangbuk-do,Gyeongsangbuk-do,전북
Pohang,Gyeongsangbuk-do,포항
Gumi,Gyeongsangbuk-do,구미
Gyeongju,Gyeongsangbuk-do,경주
Gyeongsan,Gyeongsangbuk-do,경산
Andong,Gyeongsangbuk-do,안동
Gimchoen,Gyeongsangbuk-do,김천
Yeongju,Gyeongsangbuk-do,영주
Chilgok,Gyeongsangbuk-do,칠곡
Sangju,Gyeongsangbuk-do,상주
Uljin,Gyeongsangbuk-do,울진
Yeongcheon,Gyeongsangbuk-do,영천
Gyeongsangnam-do,Gyeongsangnam-do,경남
Changwon,Gyeongsangnam-do,창원
Gimhae,Gyeongsangnam-do,김해
Geoje,Gyeongsangnam-do,거제
Jinju,Gyeongsangnam-do,진주
Yangsan,Gyeongsangnam-do,양산
Sacheon,Gyeongsangnam-do,사천
Hadong,Gyeongsangnam-do,하동
Geochang,Gyeongsangnam-do,거창
Goseong B,Gyeongsangnam-do,고성
Haman,Gyeongsangnam-do,함안
Hamyang,Gyeongsangnam-do,함양
Miryang,Gyeongsangnam-do,밀양
Namhae,Gyeongsangnam-do,남해
Tongyeong,Gyeongsangnam-do,통영
Incheon,Incheon,인천광역시
Jeju-do,Jeju-do,제주
Jeju,Jeju-do,제주시
Seogwipo,Jeju-do,서귀포
Jeollabuk-do,Jeollabuk-do,전북
Jeonju,Jeollabuk-do,전주
Gunsan,Jeollabuk-do,군산
Iksan,Jeollabuk-do,익산
Gochang,Jeollabuk-do,고창
Jeongeup,Jeollabuk-do,정읍
Namwon,Jeollabuk-do,남원
Buan,Jeollabuk-do,부안
Gimje,Jeollabuk-do,김제
Imsil,Jeollabuk-do,임실
Jangsu,Jeollabuk-do,장수
Jinan,Jeollabuk-do,진안
Muju,Jeollabuk-do,무주
Sunchang,Jeollabuk-do,순창
Wanju,Jeollabuk-do,완주
Jeollanam-do,Jeollanam-do,전남
Mokpo,Jeollanam-do,목포
Suncheon,Jeollanam-do,순천
Yeongam,Jeollanam-do,영암
Yeosu,Jeollanam-do,여수
Gwangyang,Jeollanam-do,광양
Damyang,Jeollanam-do,담양
Haenam,Jeollanam-do,해남
Hampyeong,Jeollanam-do,함평
Jangheung,Jeollanam-do,장흥
Jangseong,Jeollanam-do,장성
Jindo,Jeollanam-do,진도
Naju,Jeollanam-do,나주
Wando,Jeollanam-do,완도
Yeonggwang,Jeollanam-do,영광
Seoul,Seoul,서울특별시
Ulsan,Ulsan,울산광역시
Sejong,Sejong,세종특별자치시